Judge Name,Categories,Company 1,Company 2,Company 3,Company 4,Company 5,Company 6,Company 7,Company 8,Company 9,Company 10,Company 11,Company 12
Nicolas Schaettel,"B2B Digital/SaaS, Medical Device/Diagnostics","KINGA SAFETY, INC - B2B Digital/SaaS.",BioMarq - Medical Device/Diagnostics.,Mimik Studio - B2B Digital/SaaS.,Mortgage Backed Blockchain Staking - B2B Digital/SaaS.,Duniven Dental - Making Improved Dental Instruments - Medical Device/Diagnostics.,qibri - B2B Digital/SaaS.,Routora - B2B Digital/SaaS.,HexBR - Medical Device/Diagnostics.,SpotSight - B2B Digital/SaaS.,StudyPort - B2B Digital/SaaS.
Keith Harwood,B2C Digital/Apps,Astromata - B2C Digital/Apps.,Cobolic - B2C Digital/Apps.,Period. - B2C Digital/Apps.,QuoteNote - B2C Digital/Apps.,TeacherTime Call Coverage - B2C Digital/Apps.,The People's Data Project - B2C Digital/Apps.,Wend - B2C Digital/Apps.,You Give - B2C Digital/Apps.,ZuzuForKids.com - B2C Digital/Apps.
Tom Keuten,"B2C Digital/Apps, B2B Digital/SaaS",activeARE - B2C Digital/Apps.,Cobolic - B2C Digital/Apps.,Comma - B2C Digital/Apps.,CutCapture - B2C Digital/Apps.,GiftShop - B2C Digital/Apps.,Kopa - B2C Digital/Apps.,MiniFort - B2C Digital/Apps.,Period. - B2C Digital/Apps.,"KINGA SAFETY, INC - B2B Digital/SaaS.",Mimik Studio - B2B Digital/SaaS.
Johnny Whichard,"B2C Digital/Apps, B2B Digital/SaaS",activeARE - B2C Digital/Apps.,Artistically Stupid - B2C Digital/Apps.,Byond - B2C Digital/Apps.,"KINGA SAFETY, INC - B2B Digital/SaaS.",ProfProven - B2C Digital/Apps.,Stroll Care - B2C Digital/Apps.,Study Abroad Go - B2C Digital/Apps.,MYND - B2B Digital/SaaS.,The People's Data Project - B2C Digital/Apps.,The Working Life - B2C Digital/Apps.
Daniela Tomas,"B2C Digital/Apps, B2B Digital/SaaS",Cobolic - B2C Digital/Apps.,CutCapture - B2C Digital/Apps.,MyStory - B2C Digital/Apps.,QuoteNote - B2C Digital/Apps.,Monti - B2B Digital/SaaS.,MPA for Retail Systems - B2B Digital/SaaS.,The Working Life - B2C Digital/Apps.,Unify - B2C Digital/Apps.,qibri - B2B Digital/SaaS.,Wend - B2C Digital/Apps.
Dominic Go,"B2C Digital/Apps, B2B Digital/SaaS, B2C Physical Products, Energy/Defense/Environmental, Manufacturing/Supply Chain, Advanced Materials",Cobolic - B2C Digital/Apps.,Comma - B2C Digital/Apps.,Finbud - B2C Digital/Apps.,Kopa - B2C Digital/Apps.,Lawroo - B2C Digital/Apps.,Electus Global Education Company - B2B Digital/SaaS.,MyStory - B2C Digital/Apps.,Flexwork - B2B Digital/SaaS.,Nora+ - B2C Digital/Apps.,CTM (Competitive Training Metrics) - B2C Physical Products.
Chris Orenchuk,"B2C Digital/Apps, B2B Digital/SaaS, Commerce/Retail, B2C Physical Products",activeARE - B2C Digital/Apps.,clearspace - B2C Digital/Apps.,A Gluten Free Cottage Bakery  - Commerce/Retail.,Bike Basics - Commerce/Retail.,CoSAL - Commerce/Retail.,Podstax - B2C Digital/Apps.,CTM (Competitive Training Metrics) - B2C Physical Products.,Mortgage Backed Blockchain Staking - B2B Digital/SaaS.,Five Star Life Arts - B2C Physical Products.,Study Abroad Go - B2C Digital/Apps.
Mike Scrudato,"B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS",Artistically Stupid - B2C Digital/Apps.,ArtVision - B2C Digital/Apps.,Ave - B2C Digital/Apps.,C I V I T A S    - B2C Digital/Apps.,Finbud - B2C Digital/Apps.,GotInfo - B2C Digital/Apps.,CampuSKey - B2B Digital/SaaS.,Electus Global Education Company - B2B Digital/SaaS.,Launched - B2B Digital/SaaS.,Rydr - B2C Digital/Apps.
Jay DeCoons,"B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS",EYIT Startup Financing Initiative (ESFI) - B2C Digital/Apps.,GiftShop - B2C Digital/Apps.,Lawroo - B2C Digital/Apps.,Shortcastle - B2C Digital/Apps.,The People's Data Project - B2C Digital/Apps.,Unify - B2C Digital/Apps.,Wend - B2C Digital/Apps.,Routora - B2B Digital/SaaS.,You Give - B2C Digital/Apps.,LOOMING - B2C Physical Products.
BIll Rossiter,"B2C Digital/Apps, B2C Physical Products, B2B Digital/SaaS, Commerce/Retail",AUXIN Games - B2C Digital/Apps.,C I V I T A S    - B2C Digital/Apps.,Gehr Co. - B2C Digital/Apps.,A Gluten Free Cottage Bakery  - Commerce/Retail.,Lawroo - B2C Digital/Apps.,Children's Home Infusion Pharmacy - Commerce/Retail.,Minerva - B2C Digital/Apps.,Desi - Commerce/Retail.,Mr. Barber on the Move - B2C Digital/Apps.,MyStory - B2C Digital/Apps.
